Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Rectangularity,CylDia,CylLength,CylFit,Angularity,Ellipticity,Fiber Length,Fiber Width
 , ,µm,µm,µm,µm,µm,µm,µm,µm,µm³,µm²,µm,µm²,µm, , , , , , , , , , , , ,µm², , , , , , , , , , , ,µm²,µm, ,µm,µm, , , ,µm,µm
130,12627,5029.436,8124.616,5886.142,9008.547,1646.792,9531.367,1389.782,5457.918,45721747036,19866827.01,25524.233,28378875.73,21560.368,0.619,5.47,0.183,0.558,0.312,0.146,0.383,0.7,0.3,0.845,1.339,0,79467308.04,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.53,0.653,3.574,0.28,113515502.9,3766.467,0.604,5113.323,7974.151,0,43.12,6.858,13341.033,2147.598
313,22095,4262.452,5214.668,5684.424,6707.427,1428.744,6254.239,1297.958,5456.565,28523011151,14269504.55,16382.364,15069882.39,15865.268,0.817,4.695,0.213,0.635,0.404,0.208,0.668,0.947,0.053,0.968,1.489,0,57078018.19,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.18,0.847,3.979,0.251,60279529.57,3556.584,0.726,5250.701,6022.433,0,25.256,4.819,6341.844,1834.854
310,21970,4689.815,5540.473,5335.201,7233.225,1300.65,7143.934,1256.473,5327.004,26280991879,17274333.95,17405.91,18008955,16722.706,0.846,5.561,0.18,0.648,0.42,0.176,0.717,0.959,0.041,0.961,1.836,0,69097335.82,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.356,0.738,4.102,0.244,72035820.01,3317.925,0.843,3658.93,6402.877,0,28.125,5.686,6201.897,1054.731
139,12939,4944.436,6178.96,5366.57,7513.162,1475.187,7272.674,1305.657,5303.484,31143339423,19200977.33,19411.776,20295505.52,17485.493,0.8,5.093,0.196,0.658,0.433,0.18,0.64,0.946,0.054,0.901,1.732,0,76803909.3,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.4,0.714,3.638,0.275,81182022.1,3420.878,0.776,5373.783,6009.49,0,48.021,5.57,8014.411,3126.97
275,20517,4698.236,5806.086,5426.826,8891.89,2599.971,8506.971,2431.8,5250.23,65691184301,17336425.78,18240.356,18471239.09,17170.605,0.809,3.42,0.292,0.528,0.279,0.286,0.655,0.939,0.061,0.941,0.75,0,69345703.13,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.639,0.61,2.087,0.479,73884956.36,4013.399,0.773,3580.362,5557.65,0,24.624,3.498,7872.662,2306.541
112,10799,4589.101,5655.911,5203.504,7304.739,1951.343,6791.194,1920.769,5031.825,38835856982,16540365.22,17768.568,17565334.32,17152.571,0.811,3.743,0.267,0.628,0.395,0.283,0.658,0.942,0.058,0.965,1.16,0,66161460.88,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.404,0.712,2.667,0.375,70261337.28,3577.424,0.728,1953.791,6855.807,0,22,3.536,6512.615,3300.419
315,22153,5493.11,6468.37,4986.18,8468.902,2594.792,8733.097,2600.382,5026.187,57371502005,23698806.76,20320.984,24836265.56,19559.391,0.849,3.264,0.306,0.649,0.421,0.298,0.721,0.954,0.046,0.963,1.078,0,94795227.05,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.698,0.589,1.922,0.52,99345062.26,3790.486,0.823,4779.123,7088.35,0,24.24,3.358,7307.248,4540.965
24,7330,4462.013,5723.249,5214.125,6462.513,1374.049,6194.737,1213.786,4808.066,24242849324,15636932.37,17980.118,18044481.28,17172.699,0.78,4.703,0.213,0.69,0.477,0.196,0.608,0.867,0.133,0.955,1.761,0,62547729.49,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.239,0.807,3.795,0.264,72177925.11,3294.087,0.633,1374.783,6327.5,0,22.473,5.104,7301.379,2658.381
74,9534,4402.51,5099.474,4970.794,7154.931,1159.103,6981.593,1168.073,4779.027,21584992680,15222658.16,16020.472,16002395.63,15260.752,0.863,6.173,0.162,0.615,0.379,0.167,0.745,0.951,0.049,0.953,1.836,0,60890632.63,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.439,0.695,4.288,0.233,64009582.52,3064.949,0.784,1163.342,5246.852,0,31.475,5.977,6354.774,3676.079
255,19852,4417.172,5511.822,4830.683,7904.506,1782.073,7082.529,1682.397,4711.921,35629313481,15324224.47,17315.901,16125350.95,16590.797,0.801,4.436,0.225,0.559,0.312,0.238,0.642,0.95,0.05,0.958,1.088,0,61296897.89,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.636,0.611,2.711,0.369,64501403.81,3306.378,0.828,4290.133,5637.495,0,28.252,4.21,7047.18,1324.525
34,7942,4022.524,4906.797,4726.624,5828.872,1077.774,5930.426,934.648,4655.139,15547543859,12708292.01,15415.157,13841646.19,14350.706,0.82,5.408,0.185,0.69,0.476,0.158,0.672,0.918,0.082,0.931,2.023,0,50833168.03,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.233,0.811,4.386,0.228,55366584.78,2902.199,0.752,4832.345,4872.975,0,37.156,6.345,6018.707,2779.418
220,17108,4720.371,5860.925,4611.866,7003.593,1760.699,6601.721,1765.547,4636.189,29777032458,17500165.94,18412.638,18066738.13,16424.938,0.805,3.978,0.251,0.674,0.454,0.267,0.649,0.969,0.031,0.892,1.419,0,70000663.76,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.519,0.659,2.619,0.382,72266952.52,3186.283,0.78,4612.203,5832.722,0,47.56,3.739,7601.811,2702.237
292,21275,4144.309,5121.871,4995.996,7269.577,1333.034,6784.178,1277.067,4627.704,25349600807,13489443.78,16090.832,14750069.62,15006.917,0.809,5.453,0.183,0.57,0.325,0.188,0.655,0.915,0.085,0.933,1.392,0,53957775.12,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.455,0.687,3.748,0.267,59000278.47,3164.515,0.756,3358.379,5848.443,0,31.111,5.312,6381.631,3761.187
29,7682,3797.071,4599.638,4580.476,5511.931,1201.269,5034.13,1186.354,4574.419,15880094854,11323673.25,14450.191,12266820.91,13395.238,0.826,4.588,0.218,0.689,0.475,0.236,0.681,0.923,0.077,0.927,1.71,0,45294692.99,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.203,0.831,3.813,0.262,49067283.63,2890.872,0.764,1205.455,4837.286,0,33.44,4.243,6085.03,2681.931
273,20411,3601.567,5036.494,4588.651,6901.931,1155.588,6710.009,909.78,4525.416,19162718670,10187622.07,15822.613,11097011.57,14726.578,0.715,5.973,0.167,0.522,0.272,0.136,0.511,0.918,0.082,0.931,1.277,0,40750488.28,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.504,0.665,3.971,0.252,44388046.27,2872.119,0.734,1246.721,6802.764,0,46.871,7.375,7374.545,2875.398
348,30748,4899.396,5964.112,4746.426,9302.397,2491.957,9036.347,2393.115,4460.668,57610374364,18852762.22,18736.811,19593070.98,18288.498,0.821,3.733,0.268,0.527,0.277,0.265,0.675,0.962,0.038,0.976,0.813,0,75411048.89,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.96,0.51,1.905,0.525,78372283.94,3619.191,0.729,2500.792,7866.323,0,16.479,3.776,7411.74,3737.435
