Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Rectangularity,CylDia,CylLength,CylFit,Angularity,Ellipticity,Fiber Length,Fiber Width
 , ,µm,µm,µm,µm,µm,µm,µm,µm,µm³,µm²,µm,µm²,µm, , , , , , , , , , , , ,µm², , , , , , , , , , , ,µm²,µm, ,µm,µm, , , ,µm,µm
1991,8299,1740.241,2011.196,1985.088,2350.134,444.989,2083.747,409.514,1983.558,1086975829,2378530.741,6318.358,2513001.919,5993.809,0.865,5.281,0.189,0.74,0.548,0.197,0.749,0.946,0.054,0.949,2.274,0,9514122.963,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.184,0.845,4.461,0.224,10052007.68,1215.038,0.797,831.856,2036.797,0,50.588,5.088,2352.002,1332.852
1506,7979,807.749,1361.416,1133.062,1355.811,442.913,1225.894,409.59,1073.494,356262535.8,512439.489,4277.015,683471.262,3209.582,0.593,3.061,0.327,0.596,0.355,0.334,0.352,0.75,0.25,0.75,0.853,0,2049757.957,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.197,0.836,2.558,0.391,2733885.05,787.988,0.726,443.738,975.991,0,69.423,2.993,2493.475,245.951
5687,12370,688.714,973.301,872.291,1337.414,186.094,1383.119,167.538,887.998,113673577.5,372535.825,3057.714,458631.516,2776.323,0.708,7.187,0.139,0.515,0.265,0.121,0.501,0.812,0.188,0.908,1.497,0,1490143.299,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.533,0.652,4.687,0.213,1834526.062,529.193,0.712,607.995,635.861,0,52,8.256,1747.083,251.981
4931,11186,654.858,1146.544,979.626,1455.132,589.807,1479.2,524.128,876.219,440221562.7,336809.427,3601.973,596763.015,3177.498,0.571,2.467,0.405,0.45,0.203,0.354,0.326,0.564,0.436,0.882,0.392,0,1347237.706,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.485,0.673,1.661,0.602,2387052.059,784.716,0.701,725.115,754.095,0,37.083,2.822,2228.151,157.737
6451,13784,832.257,1255.614,941.351,1399.447,685.351,1446.407,608.825,868.112,472737387.7,544007.48,3944.627,704256.237,3245.797,0.663,2.042,0.49,0.595,0.354,0.421,0.439,0.772,0.228,0.823,0.567,0,2176029.921,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.487,0.673,1.374,0.728,2817024.946,813.351,0.691,789.212,939.542,0,55,2.376,2444.759,242.977
4771,10992,448.24,878.156,806.872,1410.716,164.329,1352.974,147.586,835.489,97939279.35,157801.181,2758.809,218666.881,2594.467,0.51,8.585,0.116,0.318,0.101,0.109,0.261,0.722,0.278,0.94,0.681,0,631204.724,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.748,0.572,4.91,0.204,874667.525,485.6,0.634,187.94,1303.736,0,45.556,9.167,1854.487,150.837
8063,17046,611.635,1310.481,987.589,1707.926,194.927,1706.568,172.469,826.89,172153135.6,293815.821,4116.997,477410.793,3473.846,0.467,8.762,0.114,0.358,0.128,0.101,0.218,0.615,0.385,0.844,0.883,0,1175263.286,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.729,0.578,5.066,0.197,1909643.173,591.258,0.608,197.551,1612.633,0,52.105,9.895,2494.254,132.643
8012,16948,663.695,980.628,966.46,1275.189,322.467,1185.36,270.092,822.433,208085613,345960.885,3080.735,451104.164,2847.956,0.677,3.954,0.253,0.52,0.271,0.228,0.458,0.767,0.233,0.924,0.841,0,1383843.541,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.319,0.758,2.997,0.334,1804416.656,644.463,0.625,636.917,934.707,0,42.414,4.389,2137.512,229.784
1326,7866,564.391,863.297,945.94,1235.965,234.313,1230.372,205.465,817.29,143437997.2,250178.963,2712.128,317898.333,2500.668,0.654,5.275,0.19,0.457,0.209,0.167,0.427,0.787,0.213,0.922,0.864,0,1000715.852,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.307,0.765,4.037,0.248,1271593.332,590.126,0.665,466.876,1025.899,0,47.353,5.988,2032.083,261.6
5709,12406,595.997,1033.085,806.523,1508.809,240.105,1489.044,202.342,784.062,152985502.8,278983.235,3245.532,362856.001,3057.474,0.577,6.284,0.159,0.395,0.156,0.136,0.333,0.769,0.231,0.942,0.77,0,1115932.941,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.871,0.535,3.359,0.298,1451424.003,523.314,0.603,240.723,1473.24,0,37.647,7.359,1860.159,287.91
3890,9969,522.043,846.753,701.895,1163.083,216.782,1168.274,205.028,777.157,92662955.16,214043.602,2660.153,279446.334,2389.713,0.617,5.365,0.186,0.449,0.201,0.175,0.38,0.766,0.234,0.898,0.849,0,856174.409,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.657,0.603,3.238,0.309,1117785.335,459.339,0.731,231.06,1138.829,0,48.333,5.698,1670.787,181.627
2839,8974,700.9,942.281,828.649,1150.797,579.314,1022.136,550.006,771.535,289255824.2,385835.737,2960.264,484380.394,2640.036,0.744,1.986,0.503,0.609,0.371,0.538,0.553,0.797,0.203,0.892,0.579,0,1543342.948,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.389,0.72,1.43,0.699,1937521.577,703.982,0.705,610.766,902.143,0,42.8,1.858,1544.818,290.548
4161,10294,726.774,1274.307,718.356,1807.476,165.023,2058.008,133.038,765.707,112190478.8,414847.463,4003.354,581733.167,3542.304,0.57,10.953,0.091,0.402,0.162,0.065,0.325,0.713,0.287,0.885,1.391,0,1659389.853,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.516,0.397,4.353,0.23,2326932.669,441.69,0.59,601.596,1557.02,0,55.778,15.469,2544.563,178.605
6913,14579,762.812,1267.402,1082.551,1560.804,483.424,1742.114,399.144,764.319,427684989.2,457009.256,3981.661,658632.457,3415.307,0.602,3.229,0.31,0.489,0.239,0.229,0.362,0.694,0.306,0.858,0.606,0,1828037.024,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.442,0.694,2.239,0.447,2634529.829,782.988,0.656,518.667,1245.284,0,56.563,4.365,2336.892,250.142
1955,8276,670.229,1591.286,841.684,2024.807,367.357,1727.133,317.063,759.22,327807787.9,352806.389,4999.172,612245.202,3801.179,0.421,5.512,0.181,0.331,0.11,0.184,0.177,0.576,0.424,0.76,0.474,0,1411225.557,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.406,0.416,2.291,0.436,2448980.808,604.52,0.456,368.008,1777.295,0,68.333,5.447,3467.774,144.828
6785,14345,803.364,1035.132,893.093,1224.698,722.568,1089.871,630.888,756.764,413811967,506890.476,3251.963,587866.962,2975.963,0.776,1.695,0.59,0.656,0.43,0.579,0.602,0.862,0.138,0.915,0.573,0,2027561.903,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.371,0.729,1.236,0.809,2351467.848,807.83,0.689,777.015,871.166,0,45.6,1.728,1562.187,346.093
1146,7755,700.851,1059.348,749.67,1218.621,618.092,1067.075,546.449,754.919,295658870.7,385781.705,3328.041,505794.108,2849.784,0.662,1.972,0.507,0.575,0.331,0.512,0.438,0.763,0.237,0.856,0.512,0,1543126.822,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.626,0.615,1.213,0.824,2023176.432,683.881,0.698,758.892,799.404,0,49.615,1.953,1628.813,181.111
7686,16043,687.411,780.74,731.334,968.249,302.527,974.181,299.372,746.049,112167216.3,371127.784,2452.768,385461.807,2403.589,0.88,3.201,0.312,0.71,0.504,0.307,0.775,0.963,0.037,0.98,1.267,0,1484511.137,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.324,0.755,2.417,0.414,1541847.229,516.931,0.804,631.64,812.877,0,60,3.254,857.299,517.516
5275,11686,691.359,1194.457,760.4,1330.749,424.453,1403.185,410.462,730.842,224887890.9,375402.123,3752.497,519029.438,3073.067,0.579,3.135,0.319,0.52,0.27,0.293,0.335,0.723,0.277,0.819,0.665,0,1501608.491,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.75,0.571,1.791,0.558,2076117.754,592.426,0.672,424.948,1308.598,0,62,3.419,1840.379,203.089
9397,19754,586.545,1049.99,768.484,1294.238,277.922,1242.905,232.764,730.35,144734196.7,270204.306,3298.64,415073.484,2807.621,0.559,4.657,0.215,0.453,0.205,0.187,0.312,0.651,0.349,0.851,0.751,0,1080817.223,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.684,0.594,2.765,0.362,1660293.937,523.203,0.609,281.632,1054.439,0,53.659,5.34,2428.558,198.499
7415,15488,536.948,932.283,772.521,1146.622,134.375,1239.868,112.412,720.813,62322680.87,226440.459,2928.854,284172.863,2524.523,0.576,8.533,0.117,0.468,0.219,0.091,0.332,0.797,0.203,0.862,1.47,0,905761.838,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.484,0.674,5.749,0.174,1136691.451,453.448,0.651,530.42,1102.341,0,62.553,11.03,1849.009,196.178
1271,7822,960.296,1588.11,808.647,2286.106,628.002,2353.374,577.4,719.963,607875769.5,724269.45,4989.196,999261.856,4514.646,0.605,3.64,0.275,0.42,0.176,0.245,0.366,0.725,0.275,0.905,0.504,0,2897077.799,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.827,0.354,1.288,0.777,3997047.424,718.324,0.681,631.628,1681.228,0,36.129,4.076,2605.459,282.098
