Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Angularity,Ellipticity,Fiber Length,Fiber Width,Krumbein Rnd
 , ,mm,mm,mm,mm,mm,mm,mm,mm,mm≥,mm≤,mm,mm≤,mm, , , , , , , , , , , , , , ,mm≤, , , , , , , , , , , ,mm≤,mm, , ,mm,mm, 
4295,16918,2.082,3.159,1.265,5.426,0.718,5.047,0.694,1.253,2.579,3.404,9.924,3.499,9.799,0.659,7.561,0.132,0.384,0.147,0.137,0.434,0.973,0.027,0.987,0.874,0,0.301,0.087,13.616,Reject,Reject,Reject,Reject,Reject,Reject,Reject,4.29,0.233,1.762,0.567,13.996,0.991,40,7.275,4.884,0.939,0.537
3462,16731,2.051,2.51,2.248,4.999,0.627,4.657,0.626,1.992,3.688,3.305,7.887,3.656,7.614,0.817,7.978,0.125,0.41,0.168,0.134,0.668,0.904,0.096,0.965,1.055,0,0.202,0.019,13.222,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.224,0.45,3.588,0.279,14.625,1.437,43,7.441,4.474,1.488,0.571
64,8488,2.047,2.508,1.706,2.815,1.706,2.908,1.562,1.562,4.29,3.29,7.878,3.784,7.624,0.816,1.65,0.606,0.727,0.529,0.537,0.666,0.869,0.131,0.968,0.685,0,0.264,0,13.161,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.65,0.606,1,1,15.138,1.706,34.444,1.861,2.709,1.215,0.691
59,8463,2.037,2.645,1.439,2.847,1.439,2.908,1.445,1.445,3.088,3.258,8.311,3.44,7.246,0.77,1.978,0.506,0.715,0.512,0.497,0.593,0.947,0.053,0.872,0.795,0,0.553,0,13.033,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.978,0.506,1,1,13.759,1.439,59.024,2.013,3.107,1.049,0.303
65,8489,2.008,2.453,1.691,2.744,1.691,2.835,1.543,1.543,4.108,3.168,7.705,3.626,7.443,0.819,1.622,0.616,0.732,0.536,0.544,0.671,0.874,0.126,0.966,0.683,0,0.191,0,12.671,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.622,0.616,1,1,14.502,1.691,29.091,1.837,2.627,1.206,0.813
79,9036,2,2.616,1.54,2.684,1.54,2.615,1.533,1.533,3.332,3.141,8.218,3.345,6.878,0.764,1.743,0.574,0.745,0.555,0.586,0.584,0.939,0.061,0.837,0.76,0,0.526,0,12.563,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.743,0.574,1,1,13.382,1.54,68.333,1.706,3.025,1.038,0.202
76,8500,1.996,2.402,1.669,2.617,1.669,2.745,1.562,1.562,3.819,3.13,7.547,3.543,7.319,0.831,1.568,0.638,0.763,0.582,0.569,0.691,0.884,0.116,0.97,0.716,0,0.233,0,12.521,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.568,0.638,1,1,14.172,1.669,29.412,1.757,2.502,1.251,0.662
327,16095,1.996,2.768,1.831,4.529,1.016,4.212,0.904,1.707,4.411,3.128,8.697,3.598,8.55,0.721,4.458,0.224,0.441,0.194,0.215,0.52,0.869,0.131,0.983,0.68,0,0.294,0.382,12.512,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.473,0.404,1.803,0.555,14.393,1.424,36.111,4.66,4.239,0.907,0.499
74,8498,1.993,2.422,1.713,2.753,1.713,2.796,1.549,1.549,4.228,3.119,7.61,3.567,7.386,0.823,1.608,0.622,0.724,0.524,0.554,0.677,0.875,0.125,0.971,0.662,0,0.327,0.64,12.477,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.608,0.622,1,1,14.266,1.713,27.273,1.805,2.561,1.218,0.576
67,8491,1.959,2.369,1.656,2.716,1.656,2.781,1.496,1.496,3.9,3.013,7.444,3.407,7.242,0.827,1.64,0.61,0.721,0.52,0.538,0.683,0.884,0.116,0.973,0.67,0,0.232,0,12.051,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.64,0.61,1,1,13.629,1.656,34.375,1.858,2.503,1.203,0.542
